business_name,category,city,address,phone,source
Dr. Ucchal's Clinic,clinics,Hyderabad,"69, Mody Ganj, Tiruppur 300087",+91 97794 59356,Google
Wadhwa Hair Studio,salons,Delhi,"42/023, Bedi Nagar, Mathura-097555",+91 97706 30389,Sulekha
Alpha Tutorials,tutors,Kolkata,"75/32, Gour Zila, Hyderabad 449929",031-26106251,Justdial
QuickFix Plumbing,plumbers,Ahmedabad,"31, Venkatesh Chowk, Pudukkottai-303510",+91 82738 95121,Sulekha
Abhimanyu Mart,grocery stores,Chennai,,+91 71166 98197,Google
Deep Kirana Store,grocery stores,Chennai,"49, Sundaram Marg, Lucknow-119424",+91 79971 71571,Justdial
QuickFix Plumbing,plumbers,Ahmedabad,"22, Lalla Circle, Ranchi 796125",+91 96006 29237,Sulekha
Iron & Sweat Gym,gyms,Pune,"68, Dora, Belgaum 518275",,Google
Alpha Tutorials,tutors,Kolkata,"622, Pau Road, Serampore-639189",+91 72409 95222,Justdial
Nagi Electricals,electricians,Bengaluru,"00/947, Verma Road, Alappuzha 184773",+91 91189 34633,Justdial
Delhi Supermarket,grocery stores,Chennai,"636, Comar Path, Jalna 559217",+91 70439 79213,Google
FitLife Studio,gyms,Pune,"06/324, Thaker Zila, Nandyal-289264",,Justdial
Bright Future Academy,tutors,Kolkata,"H.No. 021, Brar Zila, Bhimavaram 280887",+91 81838 43130,Justdial
Glow & Style,salons,Delhi,"30/231, Balan Marg, Sultan Pur Majra-069724",+91 80652 36334,Sulekha
Alpha Tutorials,tutors,Kolkata,"H.No. 254, Goyal Ganj, Malda-015855",+91 96889 88059,Sulekha
Elite Tutorials,tutors,Kolkata,"H.No. 242, Kaul Chowk, Berhampore 634593",+91 78267 19259,Justdial
Bakshi Kitchen,restaurants,Mumbai,"67/69, Prakash Zila, Vadodara 924354",+91 82768 88549,Sulekha
Chennai Health Center,clinics,Hyderabad,"99/519, Dyal Ganj, Bhilwara-622545",+91 96287 18773,Sulekha
Kale Plumbers,plumbers,Ahmedabad,"35, Chana Nagar, Panvel-930159",+91 95152 82396,Google
FlowRight Plumber Services,plumbers,Ahmedabad,"94, Samra Zila, Amroha-068974",+91 99485 66846,Justdial
Care & Cure Clinic,clinics,Hyderabad,"96, Dora Path, Kota-017511",+91 91267 60263,Google
Scissors & Comb,salons,Delhi,"06/02, Dugar, Latur-654668",+91 88702 55527,Sulekha
Care & Cure Clinic,clinics,Hyderabad,"H.No. 88, Radhakrishnan Road, Gandhidham 227656",+91 79319 50864,Google
Care & Cure Clinic,clinics,Hyderabad,"H.No. 90, Shankar, Proddatur 312998",053-28141392,Justdial
Apna Bazar,grocery stores,Chennai,"48/08, Bassi Nagar, Ghaziabad-074464",+91 79936 30246,Google
Delhi Spice,restaurants,Mumbai,"29, Sanghvi Marg, Kolhapur 237692",+91 97957 66918,Justdial
Nanda Electricals,electricians,Bengaluru,"H.No. 31, Pandey Ganj, South Dumdum-395288",+91 90627 83918,Google
Sparky Electric Services,electricians,Bengaluru,"80/73, Reddy Marg, Visakhapatnam 020583",+91 84703 63261,Sulekha
Kaul Plumbers,plumbers,Ahmedabad,"H.No. 39, Ben Ganj, Saharsa-261881",+91 85310 41654,Sulekha
Chennai Supermarket,grocery stores,Chennai,"99/31, Khare Zila, Erode-280069",+91 97920 88822,Sulekha
Yoshita Plumbing,plumbers,Ahmedabad,"H.No. 882, Nagi Circle, Ambala-377708",+91 75112 94605,Justdial
Sparky Electric Services,electricians,Bengaluru,,+91 85803 23834,Google
Delhi Supermarket,grocery stores,Chennai,"H.No. 230, Chada Marg, Howrah-526827",+91 93407 89549,Google
Bright Light Electricals,electricians,Bengaluru,"H.No. 225, Dugal Nagar, Ludhiana 969471",+91 74462 24020,Google
Volt Power Solutions,electricians,Bengaluru,,+91 84026 49301,Google
Daily Needs Grocery,grocery stores,Chennai,"H.No. 286, Chacko Marg, Ulhasnagar 983474",072-25689341,Justdial
Apna Bazar,grocery stores,Chennai,"H.No. 48, Ravi, Pallavaram-106147",+91 75453 95469,Sulekha
Magar Gym & Fitness,gyms,Pune,"754, Mistry Marg, Ujjain-295567",072-21719548,Justdial
The Golden Curry,restaurants,Mumbai,"17/56, Kara Ganj, Sasaram 239690",,Sulekha
Apna Bazar,grocery stores,Chennai,"595, Solanki Path, Kharagpur-811635",045-24965362,Justdial
Upma's Unisex Salon,salons,Delhi,"H.No. 047, Borra, Satara 566086",+91 70884 71936,Google
Dubey Clinic,clinics,Hyderabad,"93/65, Lal Marg, Solapur 176828",+91 97369 29628,Sulekha
Barad Kirana Store,grocery stores,Chennai,"H.No. 06, Talwar Chowk, Tiruchirappalli 326698",041-25009631,Sulekha
The Golden Curry,restaurants,Mumbai,"87/870, Johal, Tadipatri 031598",+91 80066 73865,Sulekha
